ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-06-13,25.828280774753875,13.457984912125239,50.07332509189621,25.828280774753875,25.828280774753875,6.11039858042165,6.11039858042165,6.11039858042165,0.4376076262456762,0.4376076262456762,0.4376076262456762,5.672790954175974,5.672790954175974,5.672790954175974,0.0,0.0,0.0,31.938679355175523
2023-06-14,25.84189427325533,12.710676966876076,51.316495394948184,25.84189427325533,25.84189427325533,6.077922554288785,6.077922554288785,6.077922554288785,0.5198603558823564,0.5198603558823564,0.5198603558823564,5.558062198406427,5.558062198406427,5.558062198406427,0.0,0.0,0.0,31.919816827544118
2023-06-15,25.855507771756784,12.601384771749531,50.25353870550327,25.855507771756784,25.855507771756784,5.916302624250885,5.916302624250885,5.916302624250885,0.49504918517027174,0.49504918517027174,0.49504918517027174,5.421253439080614,5.421253439080614,5.421253439080614,0.0,0.0,0.0,31.77181039600767
2023-06-16,25.86912127025824,13.31932916297767,51.311421266165034,25.86912127025824,25.86912127025824,5.676307603078836,5.676307603078836,5.676307603078836,0.4109638650144044,0.4109638650144044,0.4109638650144044,5.265343738064432,5.265343738064432,5.265343738064432,0.0,0.0,0.0,31.545428873337077
2023-06-20,25.923575264264063,10.951755547189581,49.090424303946115,25.923575264264063,25.923575264264063,4.953787300794746,4.953787300794746,4.953787300794746,0.4376076262453295,0.4376076262453295,0.4376076262453295,4.5161796745494165,4.5161796745494165,4.5161796745494165,0.0,0.0,0.0,30.87736256505881
2023-06-21,25.937188762765516,11.24761044427254,50.18030477887292,25.937188762765516,25.937188762765516,4.834290436549623,4.834290436549623,4.834290436549623,0.5198603558823519,0.5198603558823519,0.5198603558823519,4.314430080667272,4.314430080667272,4.314430080667272,0.0,0.0,0.0,30.771479199315138
2023-06-22,25.950802261266972,12.716246851615194,48.98670104626262,25.950802261266972,25.950802261266972,4.608565432717614,4.608565432717614,4.608565432717614,0.49504918516938773,0.49504918516938773,0.49504918516938773,4.113516247548226,4.113516247548226,4.113516247548226,0.0,0.0,0.0,30.559367693984587
2023-06-23,25.964415759768425,10.962627838412779,49.390794444514675,25.964415759768425,25.964415759768425,4.32745931196847,4.32745931196847,4.32745931196847,0.41096386501435456,0.41096386501435456,0.41096386501435456,3.9164954469541153,3.9164954469541153,3.9164954469541153,0.0,0.0,0.0,30.291875071736897
2023-06-26,26.005256255362703,11.19917497003284,46.86899016561449,26.005256255362703,26.005256255362703,3.726444535885586,3.726444535885586,3.726444535885586,0.35091698866715354,0.35091698866715354,0.35091698866715354,3.3755275472184327,3.3755275472184327,3.3755275472184327,0.0,0.0,0.0,29.73170079124829
2023-06-27,26.018869753894126,11.681983732792837,48.313066835478445,26.018869753894126,26.018869753894126,3.6568314679568337,3.6568314679568337,3.6568314679568337,0.4376076262461078,0.4376076262461078,0.4376076262461078,3.219223841710726,3.219223841710726,3.219223841710726,0.0,0.0,0.0,29.67570122185096
2023-06-28,26.03248325242556,10.064506045682535,47.030848240270075,26.03248325242556,26.03248325242556,3.597534030421751,3.597534030421751,3.597534030421751,0.5198603558823474,0.5198603558823474,0.5198603558823474,3.077673674539404,3.077673674539404,3.077673674539404,0.0,0.0,0.0,29.630017282847312
2023-06-29,26.046096750956984,10.441743155301666,49.42447590655228,26.046096750956984,26.046096750956984,3.4469741637046414,3.4469741637046414,3.4469741637046414,0.4950491851697348,0.4950491851697348,0.4950491851697348,2.951924978534906,2.951924978534906,2.951924978534906,0.0,0.0,0.0,29.493070914661626
2023-06-30,26.059710249488408,11.461901805815254,49.45693782665968,26.059710249488408,26.059710249488408,3.2535747615835424,3.2535747615835424,3.2535747615835424,0.4109638650122575,0.4109638650122575,0.4109638650122575,2.842610896571285,2.842610896571285,2.842610896571285,0.0,0.0,0.0,29.31328501107195
2023-07-03,26.100550745082685,10.063545384539044,48.40908653977261,26.100550745082685,26.100550745082685,2.9643841179303188,2.9643841179303188,2.9643841179303188,0.35091698866821086,0.35091698866821086,0.35091698866821086,2.613467129262108,2.613467129262108,2.613467129262108,0.0,0.0,0.0,29.064934863013004
2023-07-05,26.127777742145536,11.330138572655397,47.68009577774087,26.127777742145536,26.127777742145536,3.0563962750570326,3.0563962750570326,3.0563962750570326,0.5198603558823885,0.5198603558823885,0.5198603558823885,2.5365359191746437,2.5365359191746437,2.5365359191746437,0.0,0.0,0.0,29.18417401720257
2023-07-06,26.141391240676963,9.174225155308388,47.90674642823059,26.141391240676963,26.141391240676963,3.0121523482346935,3.0121523482346935,3.0121523482346935,0.49504918517008184,0.49504918517008184,0.49504918517008184,2.5171031630646117,2.5171031630646117,2.5171031630646117,0.0,0.0,0.0,29.153543588911656
2023-07-07,26.15500473920839,9.76759607346646,47.63907027282824,26.15500473920839,26.15500473920839,2.9190311401375872,2.9190311401375872,2.9190311401375872,0.4109638650122076,0.4109638650122076,0.4109638650122076,2.5080672751253803,2.5080672751253803,2.5080672751253803,0.0,0.0,0.0,29.074035879345978
2023-07-10,26.19584523480267,10.595877469846691,47.81626020945719,26.19584523480267,26.19584523480267,2.8739560682085687,2.8739560682085687,2.8739560682085687,0.3509169886681876,0.3509169886681876,0.3509169886681876,2.5230390795403808,2.5230390795403808,2.5230390795403808,0.0,0.0,0.0,29.069801303011236
2023-07-11,26.209458733334095,10.815130851499442,47.96520812170449,26.209458733334095,26.209458733334095,2.97243705706254,2.97243705706254,2.97243705706254,0.4376076262454148,0.4376076262454148,0.4376076262454148,2.534829430817125,2.534829430817125,2.534829430817125,0.0,0.0,0.0,29.181895790396634
2023-07-12,26.22307223186552,10.23570148122835,48.12074966808845,26.22307223186552,26.22307223186552,3.0662299680884852,3.0662299680884852,3.0662299680884852,0.5198603558824296,0.5198603558824296,0.5198603558824296,2.5463696122060555,2.5463696122060555,2.5463696122060555,0.0,0.0,0.0,29.289302199954005
2023-07-13,26.236685730396943,9.91172145424349,48.65718377368531,26.236685730396943,26.236685730396943,3.050610128045354,3.050610128045354,3.050610128045354,0.4950491851691978,0.4950491851691978,0.4950491851691978,2.555560942876156,2.555560942876156,2.555560942876156,0.0,0.0,0.0,29.287295858442295
2023-07-14,26.250299228928373,10.07517812596446,48.15411716650641,26.250299228928373,26.250299228928373,2.9714004782070984,2.9714004782070984,2.9714004782070984,0.410963865011134,0.410963865011134,0.410963865011134,2.560436613195964,2.560436613195964,2.560436613195964,0.0,0.0,0.0,29.22169970713547
2023-07-17,26.291139724522647,10.056857436833665,47.841585723413154,26.291139724522647,26.291139724522647,2.8833142765546587,2.8833142765546587,2.8833142765546587,0.3509169886692451,0.3509169886692451,0.3509169886692451,2.5323972878854133,2.5323972878854133,2.5323972878854133,0.0,0.0,0.0,29.174454001077308
2023-07-18,26.304753223054075,10.821703576615684,48.724168675487896,26.304753223054075,26.304753223054075,2.942063760205212,2.942063760205212,2.942063760205212,0.43760762624569327,0.43760762624569327,0.43760762624569327,2.5044561339595197,2.5044561339595197,2.5044561339595197,0.0,0.0,0.0,29.246816983259286
2023-07-19,26.318366721585498,10.520778455857274,47.25928495582995,26.318366721585498,26.318366721585498,2.9855964364876595,2.9855964364876595,2.9855964364876595,0.5198603558823013,0.5198603558823013,0.5198603558823013,2.465736080605358,2.465736080605358,2.465736080605358,0.0,0.0,0.0,29.30396315807316
2023-07-20,26.33198022011693,9.89124883827149,46.9563140316514,26.33198022011693,26.33198022011693,2.9108572795866627,2.9108572795866627,2.9108572795866627,0.4950491851695449,0.4950491851695449,0.4950491851695449,2.4158080944171174,2.4158080944171174,2.4158080944171174,0.0,0.0,0.0,29.24283749970359
2023-07-21,26.345593718648352,10.124228120739447,46.9826509717099,26.345593718648352,26.345593718648352,2.76552400538728,2.76552400538728,2.76552400538728,0.4109638650110842,0.4109638650110842,0.4109638650110842,2.3545601403761958,2.3545601403761958,2.3545601403761958,0.0,0.0,0.0,29.111117724035633
2023-07-24,26.38643421424263,9.641291410627058,46.15484214494862,26.38643421424263,26.38643421424263,2.4573348201582252,2.4573348201582252,2.4573348201582252,0.3509169886658337,0.3509169886658337,0.3509169886658337,2.106417831492392,2.106417831492392,2.106417831492392,0.0,0.0,0.0,28.843769034400857
2023-07-25,26.400047712774054,9.029030563112778,46.20351473592011,26.400047712774054,26.400047712774054,2.442460233268686,2.442460233268686,2.442460233268686,0.4376076262453468,0.4376076262453468,0.4376076262453468,2.0048526070233397,2.0048526070233397,2.0048526070233397,0.0,0.0,0.0,28.84250794604274
2023-07-26,26.413661211305484,10.245847933232932,47.76035232484098,26.413661211305484,26.413661211305484,2.41566616982063,2.41566616982063,2.41566616982063,0.5198603558822968,0.5198603558822968,0.5198603558822968,1.8958058139383327,1.8958058139383327,1.8958058139383327,0.0,0.0,0.0,28.829327381126113
2023-07-27,26.427274709836908,10.008120126283766,47.873635363102736,26.427274709836908,26.427274709836908,2.2758082053826514,2.2758082053826514,2.2758082053826514,0.4950491851693493,0.4950491851693493,0.4950491851693493,1.7807590202133026,1.7807590202133026,1.7807590202133026,0.0,0.0,0.0,28.70308291521956
2023-07-28,26.44088820836833,9.317296601281198,46.63082468024167,26.44088820836833,26.44088820836833,2.0723144975375263,2.0723144975375263,2.0723144975375263,0.41096386501001075,0.41096386501001075,0.41096386501001075,1.6613506325275154,1.6613506325275154,1.6613506325275154,0.0,0.0,0.0,28.513202705905858
2023-07-31,26.481728703962613,8.534504687000185,47.374533974167036,26.481728703962613,26.481728703962613,1.6456995564251307,1.6456995564251307,1.6456995564251307,0.3509169886668912,0.3509169886668912,0.3509169886668912,1.294782567758239,1.294782567758239,1.294782567758239,0.0,0.0,0.0,28.127428260387745
2023-08-01,26.495342202494037,7.310826915793598,47.909694257798236,26.495342202494037,26.495342202494037,1.6135258395241574,1.6135258395241574,1.6135258395241574,0.43760762624562555,0.43760762624562555,0.43760762624562555,1.175918213278532,1.175918213278532,1.175918213278532,0.0,0.0,0.0,28.108868042018194
