ticker,smape,winsorized_pct
WPP,0.07583258121429705,0.36472474612506683
CVGW,0.16388570822537682,0.36331631754972715
DFH,0.23910454642934503,0.41837732160312807
RCEL,0.6273267758867564,0.26706138984107197
C,0.24181809635647267,0.368034948895483
YY,0.10657689955322597,0.37341566460838477
MTB,0.25888580054363114,0.36218316700521064
VERA,0.1521378814758113,0.2913135593220339
ASIX,0.1517840324652869,0.3835616438356164
MUX,0.47423048542432006,0.20634358111101267
ICE,0.0628444690782789,0.37691036761668734
CGEMY,0.13496298548752847,0.3972027972027972
MARA,0.8095730564454868,0.28398133748055987
KT,0.10572659086420048,0.36109394313967863
REET,0.09136869434428797,0.5187406296851574
DOMO,0.2733409408439478,0.3155368926214757
TRP,0.12364202849958464,0.3564412012349144
PLCE,0.6042817884347763,0.30761421319796955
STBX,1.5717934935823816,0.28892455858747995
ZVRA,1.1839766892771926,0.2735353535353535
GLP,0.06662580702996483,0.374487284659557
AROC,0.15431493271168042,0.4017268802544876
VNT,0.056780696472736,0.39855072463768115
VINC,1.001506344018389,0.3787878787878788
HCAT,0.35208197111350703,0.29735525375268046
FBMS,0.14234061262173395,0.2789653314172804
SEIC,0.11503308567667507,0.3816538635336647
FTV,0.05885313078476582,0.371309963099631
CBRE,0.15359266241956332,0.3988472622478386
SCHL,0.17587294382385518,0.3601878612716763
RWEOY,0.08176480408689782,0.38024204897269914
SIGI,0.09011716931339463,0.3350702110748035
CLH,0.15171423580304444,0.2595436127105993
ADI,0.08207434372232932,0.3605934822926786
MLNK,0.06088460226492627,0.3561030235162374
PTC,0.06171855972486198,0.3903182125930941
OIH,0.074887995561982,0.3996683250414594
ALIZY,0.07179786587299752,0.4004914004914005
GDS,1.2060655890345389,0.2803648583773404
IVW,0.06934610929021667,0.57960759086523
AXP,0.23939646110321966,0.36819926254797203
SPSB,0.01050839577532509,0.546267087276551
PCT,1.2641739645779833,0.29264069264069265
PRAX,0.16384967743418088,0.29411764705882354
PPRUY,0.16295697979057416,0.3838059047062263
VNDA,0.7439624818044276,0.3011387600168705
NPWR,0.1565046893556084,0.3013544018058691
ARCT,0.6352343988615181,0.2780223501523874
EZGO,1.6257317564105023,0.27647058823529413
FGEN,1.617486993718873,0.30256012412723043
INMD,0.16351008930472213,0.3275737940964723
ZD,0.0755822600975079,0.371113184079602
MLPX,0.0872169717994788,0.41379310344827586
MANU,0.09233560319749358,0.34699714013346045
LITE,0.5734187678297163,0.40589945990859994
GBR,0.6181596895981107,0.22129514321295143
SRDX,0.14273288216029933,0.3768799764081392
ROK,0.04887496699814182,0.3781048758049678
PENG,0.1388279719480873,0.27469135802469136
SPAB,0.027752695612481355,0.5359946176272707
MJLB,1.9573438614305103,0.12567116528805689
MOMO,0.37474135137112996,0.284375
ANF,0.18421899994398874,0.41523169536609267
KW,0.18500471538589477,0.36567336567336567
WMG,0.06228719084981134,0.39137785291631444
LIN,0.05292819066635705,0.3798176291793313
BURL,0.32550932966359825,0.39951066060817897
RRC,0.16618918251348047,0.22279470551656747
AURI,1.1221606281896133,0.16326902074990898
UPXI,0.8695958381747224,0.2816593886462882
FRO,0.26960857510668046,0.2958769854680635
MSPR,2.0,0.3142857142857143
BSTZ,0.0897895507034417,0.41296687808315713
BBAX,0.04384253490190766,0.3685173886516168
BHC,0.15044709842280285,0.38950347311551325
SMIN,0.049563455064191984,0.4276114844227245
QLTA,0.028031416539648007,0.5420617925971245
PII,0.10795856241575431,0.37562320992892756
FTK,0.5642326702718464,0.2849014427961796
AAP,0.6743546830038945,0.3982194829652457
ALT,0.8813450779035581,0.3063851699279094
CLOI,0.0042466316046357675,0.8661654135338346
DESP,0.556783790588314,0.37218045112781956
ETR,0.20464404704416453,0.37436977951689365
PFFD,0.14863288770720745,0.5643086816720257
OCGN,1.497423345329247,0.25759937646141856
JAMF,0.09048422286256037,0.32811140121845084
ENGIY,0.06365474683423072,0.38472622478386165
CCSI,0.09256952949746047,0.2511792452830189
MSA,0.0919881398066615,0.3112602990540128
ATXS,0.7404230993212069,0.298845836768343
POWL,0.3013773557896274,0.3212046277488298
INCY,0.11654487483489277,0.3016256032512065
MIGI,1.8291233466605683,0.16105327617881202
JAGX,1.9997840119312307,0.3593813593813594
ICOW,0.03454302396520072,0.508562532433835
AMTB,0.16975869479848144,0.3622641509433962
IBTM,0.03003062035377068,0.5511450381679389
PREF,0.09878807108174037,0.676255230125523
DOGZ,0.8982680911906402,0.27515286270150086
GUSH,1.5231379825721,0.3137014314928425
OIS,0.15316458928634813,0.39089403973509934
TCBI,0.13191754112088958,0.3825974505819324
ENGN,0.22261498751538905,0.2595019659239843
ADYEY,0.407201833705942,0.3977777777777778
ACB,1.9193099752385785,0.2881801125703565
ERY,1.5366868669783988,0.31946144430844553
BSCT,0.03292378647581953,0.5615835777126099
XLV,0.0423690774570603,0.5269078747339617
AVDE,0.04070623428030751,0.5461254612546126
PTA,0.03531731377737016,0.5425925925925926
WEBL,0.2230002428964355,0.3237735849056604
QTWO,0.5655689826496858,0.39963570127504555
TPIC,0.7203788379058638,0.31554524361948955
STEM,1.08440545260382,0.3290676416819013
ISTB,0.013333134050971996,0.5550888529886915
DNLI,0.28319673164369796,0.3289036544850498
CHX,0.16650523789728877,0.30917592051431914
INGN,0.692729690148327,0.43171965317919075
TRIP,0.20770546686459598,0.3864938197166114
ADSK,0.09196546782350043,0.3849389144802724
MUB,0.015952211105427765,0.577028258887876
LOVE,0.19814732572488586,0.3181545835829838
USHY,0.055387858924962154,0.5675381263616558
