ticker,volatility,rmse_base,avg_price,len,rmse_tuned
BSNLF,High,0.0442607189762179,0.0260890206149815,1889,0.0318449643414155
FTA,Medium-Low,8.488856001604507,38.64729062307836,4457,4.376875467463178
JTKWY,Medium-High,0.6401342743642565,9.432195768076287,1226,0.5658400119137965
FWONB,Medium-Low,6.866345554813472,46.53826399644216,2016,6.854366656572429
VRMMQ,High,116.53852667761562,1104.577206209594,1173,78.17973745773956
INND,High,24.365511881580648,110.94070636811226,1988,23.48779882939353
ARTM,High,0.0270740564544686,0.2388987766658564,7555,0.0089643679580041
TBBK,Medium,6.42714770968404,15.702928700729272,5289,6.56751497468977
HDVY,High,0.103639689713304,0.0787180151835956,5844,0.0539188087251566
KNYJY,Medium-Low,6.688619537483011,21.639941921906885,3147,2.9453463274569085
VALV,High,0.0107662423350018,1.8761242883401252,4653,0.0085144241616137
FMXUF,Medium-Low,4.492993260243342,8.894999434240733,3270,2.2571164824795984
TNSTF,High,29.400328550928787,-17.926776034936506,1977,2.695677932829603
PHOT,High,329.63222181284056,18898.102027342284,5188,262.0835463889343
WTTZF,High,5.702902085312638,0.5601595069778967,2952,5.190931207286881
SRLN,Low,0.3788888312157254,32.24843468144786,2982,0.3725163464107557
LIXT,High,15.817567908825156,6.616048278712678,4350,12.99180907704084
LULU,Medium,200.4628594811092,142.85210743734902,4413,131.76459899423665
LNBY,High,0.8220749621584973,0.7011027685189859,975,0.6295197210571203
QGLDF,High,0.1074698100887344,0.3463645914844955,3807,0.077649020211261
VQSSF,High,3.1473817956770613,1.9642968888427477,3110,2.14791368417541
TACI,High,0.3185843605013894,120.87757297880223,5035,0.3154756452525252
UPDC,High,0.0591971449776673,1.0592615686037572,7555,0.0199469435789825
CELJF,Medium,2.0270028310524717,10.008931131979615,4531,0.7134984686288387
SLM,Medium,5.081165732172885,6.3501157301266495,10427,2.161959959274024
EQH,Medium-Low,15.463239728677348,26.18187293657922,1697,9.982484769089512
SPC,Low,0.0397384190268575,19.208976965511543,850,0.0284784702435183
SCDCF,High,0.0056602899754219,0.0737861950116667,1031,0.0060431280282704
TEO,Medium,2.102344920866225,9.458306807616394,7592,1.94807744547692
MBOT,High,40.19665218864809,39447.24911113349,8278,37.99191485993223
HWNI,High,0.0224289018880128,0.0793409676501347,682,0.0155099136250488
ULVM,Low,13.215539944776094,56.575888356485,1830,9.454985316322674
WWD,Medium-Low,15.29804264876288,40.79922893650287,7766,15.012706580641478
EE,Medium,4.857493708439698,21.29975515300945,708,5.305791404708074
TKRKF,High,13.990373174858846,-0.7537388594185419,2602,13.99161600220625
YLD,Low,3.1979037776362254,14.809264566492738,2410,0.9360969728277266
EXPL,High,0.0402140302380242,2.054598851203152,4382,0.0292042586744644
UPHLW,Low,0.0,0.0700000002980232,632,0.0
EASG,Low,1.5654688978364963,25.4233186604184,1573,1.5304554420498884
ATOM,High,5.728509837578286,8.635675094349466,2139,4.54476986806442
CAPFF,Medium-Low,0.2056855216734966,0.9956393926378632,903,0.1502747997089263
VEGA,Low,2.446497641132723,30.496147429988994,3116,1.8950353743609685
BTAI,High,5.180830672381977,17.474294082066372,1741,3.93627752894971
XMMRF,Medium,0.1899499287946094,0.4192023534056476,1799,0.0862457176947624
SPLP,Medium-Low,3.8858773660385073,21.761862316551245,3227,3.0781683292944964
JAVA,Low,2.9166698895517515,53.45224995840164,840,2.6011792146834294
FRST,Medium-Low,1.8361382591361963,8.966992240142988,4596,1.1763282480943775
HLRD,Medium,203.0083322820409,472.9476252319728,3110,38.21029024105386
SIELY,Medium,1.9269775844232389,6.910833550360323,3656,2.049299180723925
PVBC,Medium-Low,10.696322200302044,10.850840905121762,2407,3.880611330811923
FINX,Medium-Low,11.82233454753476,26.789129683513515,2114,9.272164874022778
SDD,Medium,7.114381054509754,1332.982019784062,4540,3.068751516453636
PLAG,High,13.61423006905082,203.59223002702828,3876,8.020846538923049
OPP,Low,2.3829052140840403,7.540503197605135,2103,0.6880425895293696
PNDXF,Medium,2.948988484693637,11.131973033271183,656,2.2229097087172773
USCTF,High,31.829699930519087,81.08630390503131,782,1.4213818950588335
AZTEF,High,0.0232266851209944,0.2015661952744739,3850,0.0230466311332518
BOLT,Medium-High,0.5850273461644812,5.095012327942853,1007,0.5732397016688727
MYLKF,High,0.0645527363386506,0.2813338169731733,775,0.0485472567174133
YNAJF,High,0.0928972686749858,0.4473146144500126,3736,0.0582422496427446
BDIMF,Medium,1.1982168763622476,6.967519956618689,3774,1.0851323603215048
IHHFF,Low,9.875412743375891,93.82009842975948,2252,9.825656245401236
FSV,Medium-Low,73.07464086710935,104.98364186384718,2438,16.297069159418825
XTWY,Low,12.490072028947772,41.17341944202142,583,5.173123508712328
MGFX,Medium,5.246940865872202e-05,0.0001804576681403,1748,5.724820182173376e-05
SREA,Low,0.9171091054735336,21.52206715099877,1413,0.8080614983133925
FSEN,High,1.2537330581496615,2.4642866882461325,1971,0.5851500653926852
LIDRW,High,0.0804400839693945,0.4873933720921636,1026,0.0623890676961735
KSA,Medium-Low,7.578034545582065,30.100911633624296,2363,2.7576682249512965
DMSI,High,0.0008391078453634,0.0028523401425564,3910,0.0008061720338384
LZRFY,Medium-High,3.2664104358001125,6.890098799513679,3147,2.9704435194705368
RYCEF,Medium,1.4171822855820129,8.842745337585262,4022,0.8511796232744756
ORINF,Medium-Low,7.481516073332515,32.01921662429105,2944,4.33055016313248
HROWL,Low,0.3977677589077889,21.177742337776444,944,0.2820822703233764
VLEEY,Medium,1.7354781015126275,13.44280789406532,3787,0.9633159740218616
