ticker,volatility,avg_price,len,rmse_standard,rmse_tuned,winsorized_pct
ADYEY,Medium,16.389897922453564,1347,5.087749910425327,7.321584969487503,0.39717891610987377
NMM,Medium,63.8295548306162,4339,23.137862878777224,18.612367034356275,0.3733579165706384
MARK,High,214.81126306319211,5455,10.280774175582753,4.454470373557234,0.2738771769019248
VIGI,Low,63.28233149124749,2251,12.58677305603266,3.8475141884238835,0.5459795646379387
GDRX,Medium-High,17.561465515631728,1102,2.9044312529263463,1.844597219398077,0.2595281306715064
FTGS,Low,26.471291003019918,575,1.5370660490809864,1.2318791635213484,0.5252173913043479
GOVX,High,26.679293623729187,1100,3.31779209607128,3.325545306221396,0.29
DFEM,Low,23.730984577608854,701,1.672710124078965,1.606947484767258,0.47788873038516405
WABC,Medium-Low,21.80159018661024,11320,6.103251963650995,5.14950262081282,0.3350706713780919
SDA,High,10.007639954415122,961,6.547074444079337,1.7601124121528273,0.21123829344432882
AAOI,High,17.415559072706102,2862,20.194137004997387,13.829360058276977,0.3039832285115304
CRGY,Medium,12.139427068990328,797,2.303719073821797,1.938366314343851,0.3312421580928482
JHMD,Low,26.64409047712032,2045,1.226102893464037,1.2073603353036728,0.5286063569682151
XLK,Medium-Low,53.15406493125306,6575,12.312853914044895,11.212488678719374,0.4360456273764259
FTLS,Low,41.46429784762419,2623,11.622861120537522,7.389369330184275,0.5585207777354174
CL,Medium-Low,21.786189256591022,13057,16.07881604675344,10.258603580247849,0.36761890173853107
MPWR,Medium,147.81855075432898,5089,152.90626914310394,151.84849896799432,0.41363725682845354
THQ,Medium-Low,13.030628148247214,2652,4.812085923965465,1.835937667829656,0.39592760180995473
EFX,Medium-Low,48.29196329435774,11320,40.42517306755037,27.241066576927523,0.37818021201413426
FFTY,Medium-Low,29.48504347063911,2477,24.37388463389833,11.553515988631382,0.4020993136859104
EFSC,Medium,24.36279658247502,5431,19.021651868271043,8.161524883464237,0.35849751426993187
WDC,Medium,22.27470509593873,11667,10.988477758993549,11.315047881798423,0.376874946430102
JG,High,46.921962306030174,1646,13.895001665682914,14.453095614053977,0.25880923450789795
MYRG,Medium,47.16772829116439,4151,36.72107842636176,29.752185199010228,0.381835702240424
DBC,Low,19.45414578329184,4785,1.056532205951734,1.4607629932569166,0.5122257053291536
VFLO,Low,30.037163459963917,410,1.1749025072359331,1.1793776908908808,0.47560975609756095
CCL,Medium,22.19788964476876,9461,3.247614087640898,3.8532745383958544,0.38040376281577
SPTN,Medium,13.46827749927536,6169,3.4489356750222457,3.629771479368572,0.3691035824282704
OILD,High,45.65430480555485,817,13.139854519002908,8.434450056573123,0.3182374541003672
REZI,Medium,19.546797489516344,1580,5.922764867613039,3.3225283737500817,0.3759493670886076
WBD,Medium,21.795143889549223,4931,4.530934733007992,3.4946683337244733,0.38186980328533765
BILS,Low,91.40624215402008,1092,0.2049218677158652,0.15601498813494982,0.7051282051282052
GMPR,High,177860758119.87158,7481,1132.136650157333,1112.66178967184,0.11589359711268547
AHEXY,Medium-Low,19.0553927930497,3804,9.238457149166006,3.2292150486520415,0.3951104100946372
UDMY,Medium,11.71861044180046,824,2.998214174903106,5.248777692659011,0.3604368932038835
ARTY,Medium-Low,30.67386494656583,1665,3.661751869338131,2.623980729315412,0.4084084084084084
GFAI,High,15.47481082221295,846,4.805117258847391,3.057451398958074,0.2789598108747045
FPEI,Low,15.591619464663015,1878,2.325394073408697,1.9583829265132264,0.6331203407880724
VINC,High,120.0017973855578,1185,44.66484593668166,26.17965857423967,0.3780590717299578
VERV,High,21.22246190197847,918,15.27400275949306,3.5572905043637286,0.30392156862745096
HLVX,High,12.065429204864392,699,3.115027330903343,4.589356048916969,0.2017167381974249
CLDT,Medium-Low,12.430024587309072,3730,1.175149630413486,0.5937293541261465,0.36434316353887397
RELI,High,376.8767234583005,1007,303.0665517459419,70.97551442840184,0.3346573982125124
GXO,Medium,57.88894859843073,894,9.826271270706805,7.066088909773385,0.3713646532438479
AZTA,Medium,23.327355884221618,7557,15.531626515259717,10.702471169361447,0.38083895725817124
FBEC,High,1521.951771068715,4767,1.813325647811072,1.477571839302873,0.09754562617998741
ILPT,Medium,13.349664898534838,1780,3.54497132998888,3.215611883695283,0.39719101123595507
WTW,Medium-Low,113.38783119531033,5953,57.14252155222548,47.319230301050254,0.3811523601545439
CDP,Medium,13.04794953944143,8339,5.732824068631049,4.671004841527568,0.3302554263101091
CNK,Medium,21.36266122069696,4481,8.16415269709015,8.465752549141273,0.3891988395447445
PFS,Medium-Low,12.21833506916597,5554,6.55857435226066,2.6021498237656675,0.35595966870723805
TPC,Medium,14.862601949760288,13056,14.071710248178796,13.7686032030078,0.3332567401960784
TCHP,Medium-Low,29.86604622216292,1136,1.346968932569181,1.6383162862024474,0.41725352112676056
VYX,Medium,12.756093901943316,7087,3.838902950946391,1.1921131356614452,0.3996049103993227
GWW,Medium-Low,108.1678733158781,13106,83.68424067080353,73.14884389004949,0.38135205249504045
TDTT,Low,20.274562556334217,3366,0.4141648047487041,0.4101304505703439,0.4952465834818776
WB,Medium,33.07854928994862,2722,24.78561572968622,13.871859624047557,0.3714180749448935
TMO,Medium-Low,98.01725062231924,11320,121.89100849484616,85.39958965867366,0.37579505300353355
CVLT,Medium,51.47353438376556,4626,50.02226673685311,41.45604429815207,0.3588413316039775
USIO,High,12.2514441464635,6535,3.7334418349314,1.5987176248748778,0.17230298393267024
CNMD,Medium,31.52515047541055,9462,43.644904254136335,22.522945593025458,0.36155146903403085
