ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-07-23,0.7126215668321146,-3.750766807721764,8.865223770721913,0.7126215668321146,0.7126215668321146,1.7777931600923214,1.7777931600923214,1.7777931600923214,-0.24515779477873453,-0.24515779477873453,-0.24515779477873453,2.022950954871056,2.022950954871056,2.022950954871056,0.0,0.0,0.0,2.490414726924436
2020-07-24,0.7241569729053456,-3.5432162857219174,8.554162105887714,0.7241569729053456,0.7241569729053456,1.7638133500975994,1.7638133500975994,1.7638133500975994,-0.20064906004175678,-0.20064906004175678,-0.20064906004175678,1.964462410139356,1.964462410139356,1.964462410139356,0.0,0.0,0.0,2.487970323002945
2020-07-27,0.7587631911250394,-4.196632457101248,8.852268558445328,0.7587631911250394,0.7587631911250394,1.5085781374953804,1.5085781374953804,1.5085781374953804,-0.24034630328590864,-0.24034630328590864,-0.24034630328590864,1.748924440781289,1.748924440781289,1.748924440781289,0.0,0.0,0.0,2.26734132862042
2020-07-28,0.7702985971982704,-3.9272018487581892,8.322915624285438,0.7702985971982704,0.7702985971982704,1.4221815177228136,1.4221815177228136,1.4221815177228136,-0.24400996307093908,-0.24400996307093908,-0.24400996307093908,1.6661914807937528,1.6661914807937528,1.6661914807937528,0.0,0.0,0.0,2.192480114921084
2020-07-29,0.7818340032715013,-4.444439048243875,8.269419421059801,0.7818340032715013,0.7818340032715013,1.3016175997023425,1.3016175997023425,1.3016175997023425,-0.27797689239476797,-0.27797689239476797,-0.27797689239476797,1.5795944920971108,1.5795944920971108,1.5795944920971108,0.0,0.0,0.0,2.083451602973844
2020-07-30,0.7933694093447333,-3.883570129993393,8.32579150079323,0.7933694093447333,0.7933694093447333,1.2450930177500055,1.2450930177500055,1.2450930177500055,-0.24515779477854652,-0.24515779477854652,-0.24515779477854652,1.4902508125285523,1.4902508125285523,1.4902508125285523,0.0,0.0,0.0,2.0384624270947387
2020-07-31,0.8049048154179642,-4.425219596744612,8.468057980504488,0.8049048154179642,0.8049048154179642,1.1987130227021985,1.1987130227021985,1.1987130227021985,-0.20064906004181182,-0.20064906004181182,-0.20064906004181182,1.3993620827440103,1.3993620827440103,1.3993620827440103,0.0,0.0,0.0,2.003617838120163
2020-08-03,0.8395110336376581,-4.584253488492877,8.292185948715222,0.8395110336376581,0.8395110336376581,0.8898661794277425,0.8898661794277425,0.8898661794277425,-0.24034630328590748,-0.24034630328590748,-0.24034630328590748,1.13021248271365,1.13021248271365,1.13021248271365,0.0,0.0,0.0,1.7293772130654006
2020-08-04,0.851046439710889,-4.77789602593824,8.006934860385904,0.851046439710889,0.851046439710889,0.8020016147984247,0.8020016147984247,0.8020016147984247,-0.24400996307073938,-0.24400996307073938,-0.24400996307073938,1.0460115778691645,1.0460115778691645,1.0460115778691645,0.0,0.0,0.0,1.6530480545093136
2020-08-05,0.8625818457841199,-4.5752627730496975,8.19475294172795,0.8625818457841199,0.8625818457841199,0.6887131042719254,0.6887131042719254,0.6887131042719254,-0.2779768923948185,-0.2779768923948185,-0.2779768923948185,0.966689996666744,0.966689996666744,0.966689996666744,0.0,0.0,0.0,1.5512949500560453
2020-08-06,0.8741172518573509,-4.460468504723654,7.678652401880529,0.8741172518573509,0.8741172518573509,0.6482781744381394,0.6482781744381394,0.6482781744381394,-0.24515779477876123,-0.24515779477876123,-0.24515779477876123,0.8934359692169008,0.8934359692169008,0.8934359692169008,0.0,0.0,0.0,1.5223954262954904
2020-08-07,0.8856526579305828,-4.775694846314795,7.4434971717145375,0.8856526579305828,0.8856526579305828,0.6266969594542313,0.6266969594542313,0.6266969594542313,-0.20064906004054645,-0.20064906004054645,-0.20064906004054645,0.8273460194947778,0.8273460194947778,0.8273460194947778,0.0,0.0,0.0,1.512349617384814
2020-08-10,0.9202588761502757,-5.385415663598823,7.940763006721672,0.9202588761502757,0.9202588761502757,0.4408233314765738,0.4408233314765738,0.4408233314765738,-0.2403463032859063,-0.2403463032859063,-0.2403463032859063,0.6811696347624799,0.6811696347624799,0.6811696347624799,0.0,0.0,0.0,1.3610822076268496
